iter	Passed	Remaining
0	0	55
1	1	51
2	1	50
3	1	46
4	2	46
5	2	45
6	3	45
7	3	45
8	4	44
9	4	43
10	5	43
11	5	43
12	6	42
13	6	42
14	7	41
15	7	41
16	8	40
17	8	40
18	9	39
19	9	38
20	10	38
21	10	37
22	11	37
23	11	36
24	12	36
25	12	36
26	13	35
27	13	35
28	14	34
29	14	34
30	15	33
31	15	33
32	16	32
33	16	32
34	16	31
35	17	31
36	17	30
37	18	30
38	18	29
39	19	29
40	19	28
41	20	27
42	20	27
43	20	26
44	21	26
45	21	25
46	22	25
47	22	24
48	23	24
49	23	23
50	24	23
51	24	22
52	25	22
53	25	21
54	26	21
55	26	20
56	27	20
57	27	20
58	28	19
59	29	19
60	29	19
61	30	18
62	30	18
63	31	17
64	32	17
65	32	16
66	33	16
67	33	15
68	34	15
69	34	14
70	35	14
71	35	13
72	36	13
73	36	12
74	37	12
75	37	11
76	38	11
77	38	10
78	39	10
79	40	10
80	40	9
81	41	9
82	41	8
83	42	8
84	42	7
85	43	7
86	43	6
87	44	6
88	44	5
89	45	5
90	45	4
91	46	4
92	46	3
93	47	3
94	47	2
95	48	2
96	49	1
97	49	1
98	50	0
99	50	0
